epoch,EmbeddingSimilarity,nll-test
1,-0.017143113,1.5357771
6,-0.014694189,1.0917808
11,-0.014198513,0.95376
16,-0.014400717,0.8811432
21,-0.013945436,0.8365402
26,-0.014365556,0.80915546
31,-0.013939575,0.793902
36,-0.01419328,0.7781537
41,-0.014034437,0.7676374
46,-0.013716349,0.76042545
51,-0.013957987,0.74996287
56,-0.014264111,0.746348
61,-0.013875327,0.73995364
66,-0.013979462,0.73717713
71,-0.014070833,0.7359446
76,-0.013662608,0.73192203
