epoch,EmbeddingSimilarity,nll-test
1,-0.016477941,1.5900812
6,-0.014310007,1.1033366
11,-0.013832256,0.953502
16,-0.013514957,0.87552625
21,-0.013583652,0.8344038
26,-0.013346855,0.8094331
31,-0.013544712,0.79255646
36,-0.013502387,0.7784437
41,-0.013485754,0.76733387
46,-0.01338498,0.7603919
51,-0.013714834,0.7508794
56,-0.013534407,0.748229
61,-0.013534483,0.7406171
66,-0.013275236,0.7373386
71,-0.013299639,0.73411685
76,-0.013521993,0.72991645
